year,season,station,lat,long,elevation,Tmin,Tmax,Tavg
1968,Premonsoon,1218,27.83333,86.76667,3857.0,-2.2040706577803197,9.808630144565218,3.8022797433924493
1968,Premonsoon,1219,27.50511778,86.586215,2383.0,7.376929342219679,19.389630144565217,13.383279743392448
1968,Premonsoon,1222,27.21252194,86.79188583,1612.0,12.38842934221968,24.40113014456522,18.394779743392448
1968,Premonsoon,1225,27.81667,86.71667,3700.0,-1.1835706577803198,10.829130144565218,4.8227797433924495
1968,Premonsoon,1303,27.29209694,87.31696583,1277.0,14.565929342219679,26.578630144565217,20.57227974339245
1968,Premonsoon,1304,27.046316,87.292473,1720.0,11.686429342219679,23.69913014456522,17.69277974339245
1968,Premonsoon,1307,26.98321944,87.34595556,1192.0,15.11842934221968,27.131130144565216,21.12477974339245
1968,Premonsoon,1314,27.12304,87.53619,1525.0,12.953929342219679,24.966630144565215,18.960279743392448
1968,Premonsoon,1316,26.82044,87.15917,105.0,22.183929342219677,34.19663014456522,28.190279743392445
1968,Premonsoon,1327,27.39106194,87.20438389,1064.0,15.95042934221968,27.96313014456522,21.95677974339245
1968,Premonsoon,1401,27.68333,87.78333,3119.0,2.8302398065217393,12.658153366304347,7.744196586413043
1968,Premonsoon,1405,27.35861111,87.67,1744.0,11.441304347826087,21.730434782608697,16.585869565217394
1968,Premonsoon,1419,27.14367389,87.765595,1157.0,15.345929342219678,27.35863014456522,21.352279743392447
1968,Premonsoon,9999,27.961111,86.808889,5200.0,-11.951373600686498,8.243840586956521,-1.853766506864989
1968,Winter,1016,27.94456111,85.59513611,2574.0,-0.10640221071910554,11.50883582857143,5.701216808926162
1968,Winter,1024,27.61611667,85.56550278,1543.0,6.595097789280894,18.210335828571427,12.402716808926161
1968,Winter,1036,27.6451338,85.620881,857.0,11.054097789280894,22.669335828571427,16.86171680892616
1968,Winter,1103,27.63044722,86.23211389,1877.0,0.061538461538461535,14.401017147252746,7.231277804395604
1968,Winter,1123,27.39470278,86.06123333,497.0,13.394097789280892,25.009335828571427,19.201716808926157
1968,Winter,1124,27.63333333,86.13333333,1755.0,5.217097789280894,16.832335828571427,11.024716808926161
1968,Winter,1201,27.81667,86.71667,3450.0,-3.6353134137651817,7.19248396923077,1.7785852777327935
1968,Winter,1206,27.30812083,86.504225,1731.0,4.758241758241758,15.435025865934067,10.096633812087912
1968,Winter,1212,26.730538,86.934812,101.0,15.968097789280893,27.58333582857143,21.77571680892616
1968,Winter,1218,27.83333,86.76667,3857.0,-8.445902210719105,3.169335828571429,-2.638283191073838
1968,Winter,1219,27.50511778,86.586215,2383.0,1.1350977892808942,12.750335828571428,6.942716808926161
1968,Winter,1222,27.21252194,86.79188583,1612.0,6.146597789280894,17.761835828571428,11.95421680892616
1968,Winter,1225,27.81667,86.71667,3700.0,-7.425402210719105,4.189835828571429,-1.6177831910738376
1968,Winter,1303,27.29209694,87.31696583,1277.0,8.324097789280895,19.939335828571426,14.13171680892616
1968,Winter,1304,27.046316,87.292473,1720.0,5.444597789280894,17.059835828571426,11.25221680892616
1968,Winter,1307,26.98321944,87.34595556,1192.0,8.876597789280893,20.49183582857143,14.68421680892616
1968,Winter,1314,27.12304,87.53619,1525.0,6.712097789280894,18.327335828571428,12.51971680892616
1968,Winter,1316,26.82044,87.15917,105.0,15.942097789280893,27.55733582857143,21.74971680892616
1968,Winter,1327,27.39106194,87.20438389,1064.0,9.708597789280894,21.32383582857143,15.516216808926162
1968,Winter,1401,27.68333,87.78333,3119.0,-3.0821978887218044,5.910804303296704,1.4143032072874493
1968,Winter,1405,27.35861111,87.67,1744.0,4.264835164835165,14.237966301098902,9.251400732967033
1968,Winter,1419,27.14367389,87.765595,1157.0,9.104097789280893,20.719335828571428,14.91171680892616
1968,Winter,9999,27.961111,86.808889,5200.0,-13.90601734644303,0.9752173846153843,-6.465399980913823
1969,Monsoon,1016,27.94456111,85.59513611,2574.0,12.29079780907186,20.61214182279469,16.451469815933276
1969,Monsoon,1024,27.61611667,85.56550278,1543.0,18.99229780907186,27.31364182279469,23.152969815933275
1969,Monsoon,1036,27.6451338,85.620881,857.0,23.45129780907186,31.772641822794693,27.611969815933275
1969,Monsoon,1103,27.63044722,86.23211389,1877.0,14.674590163934425,22.477868852459018,18.57622950819672
1969,Monsoon,1123,27.39470278,86.06123333,497.0,25.791297809071857,34.11264182279469,29.951969815933275
1969,Monsoon,1124,27.63333333,86.13333333,1755.0,17.61429780907186,25.935641822794693,21.774969815933275
1969,Monsoon,1201,27.81667,86.71667,3450.0,7.4489772679033655,15.225519765027322,11.337248516465344
1969,Monsoon,1206,27.30812083,86.504225,1731.0,16.722950819672132,24.517213114754096,20.620081967213114
1969,Monsoon,1212,26.730538,86.934812,101.0,28.36529780907186,36.686641822794684,32.52596981593327
1969,Monsoon,1218,27.83333,86.76667,3857.0,5.090163934426229,13.924590163934425,9.507377049180329
1969,Monsoon,1219,27.50511778,86.586215,2383.0,13.53229780907186,21.853641822794692,17.692969815933274
1969,Monsoon,1222,27.21252194,86.79188583,1612.0,18.543797809071858,26.86514182279469,22.704469815933273
1969,Monsoon,1225,27.81667,86.71667,3700.0,4.971797809071861,13.293141822794691,9.132469815933277
1969,Monsoon,1303,27.29209694,87.31696583,1277.0,20.721297809071856,29.042641822794693,24.881969815933275
1969,Monsoon,1304,27.046316,87.292473,1720.0,17.841797809071856,26.16314182279469,22.002469815933274
1969,Monsoon,1307,26.98321944,87.34595556,1192.0,21.27379780907186,29.59514182279469,25.434469815933276
1969,Monsoon,1314,27.12304,87.53619,1525.0,19.109297809071858,27.430641822794694,23.269969815933276
1969,Monsoon,1316,26.82044,87.15917,105.0,28.33929780907186,36.66064182279469,32.49996981593327
1969,Monsoon,1327,27.39106194,87.20438389,1064.0,22.10579780907186,30.42714182279469,26.266469815933277
1969,Monsoon,1401,27.68333,87.78333,3119.0,9.100819672131147,15.459016393442623,12.279918032786886
1969,Monsoon,1405,27.35861111,87.67,1744.0,17.15767923770492,24.201587912568304,20.679633575136613
1969,Monsoon,1419,27.14367389,87.765595,1157.0,21.50129780907186,29.82264182279469,25.66196981593328
1969,Monsoon,9999,27.961111,86.808889,5200.0,-3.399596432269198,9.23919655737705,2.9198000625539255
1969,Postmonsoon,1016,27.94456111,85.59513611,2574.0,4.858801343235137,16.28658830757221,10.572694825403673
1969,Postmonsoon,1024,27.61611667,85.56550278,1543.0,11.560301343235135,22.98808830757221,17.274194825403672
1969,Postmonsoon,1036,27.6451338,85.620881,857.0,16.019301343235135,27.44708830757221,21.73319482540367
1969,Postmonsoon,1103,27.63044722,86.23211389,1877.0,5.686885245901639,17.875409836065575,11.781147540983607
1969,Postmonsoon,1123,27.39470278,86.06123333,497.0,18.359301343235135,29.78708830757221,24.07319482540367
1969,Postmonsoon,1124,27.63333333,86.13333333,1755.0,10.182301343235137,21.61008830757221,15.896194825403672
1969,Postmonsoon,1201,27.81667,86.71667,3450.0,1.084472539257981,10.49626530601093,5.790368922634455
1969,Postmonsoon,1206,27.30812083,86.504225,1731.0,10.826229508196722,20.611475409836064,15.718852459016393
1969,Postmonsoon,1212,26.730538,86.934812,101.0,20.933301343235136,32.36108830757221,26.647194825403673
1969,Postmonsoon,1218,27.83333,86.76667,3857.0,-3.2800346793212536,8.63682461748634,2.678394969082543
1969,Postmonsoon,1219,27.50511778,86.586215,2383.0,6.100301343235136,17.528088307572208,11.814194825403671
1969,Postmonsoon,1222,27.21252194,86.79188583,1612.0,11.111801343235136,22.539588307572206,16.825694825403673
1969,Postmonsoon,1225,27.81667,86.71667,3700.0,-2.4601986567648626,8.96758830757221,3.2536948254036733
1969,Postmonsoon,1303,27.29209694,87.31696583,1277.0,13.289301343235136,24.717088307572208,19.003194825403675
1969,Postmonsoon,1304,27.046316,87.292473,1720.0,10.409801343235136,21.837588307572208,16.12369482540367
1969,Postmonsoon,1307,26.98321944,87.34595556,1192.0,13.841801343235137,25.269588307572207,19.55569482540367
1969,Postmonsoon,1314,27.12304,87.53619,1525.0,11.677301343235136,23.105088307572206,17.391194825403673
1969,Postmonsoon,1316,26.82044,87.15917,105.0,20.907301343235137,32.33508830757221,26.62119482540367
1969,Postmonsoon,1327,27.39106194,87.20438389,1064.0,14.673801343235137,26.10158830757221,20.387694825403674
1969,Postmonsoon,1401,27.68333,87.78333,3119.0,2.1459016393442623,11.257377049180329,6.701639344262295
1969,Postmonsoon,1405,27.35861111,87.67,1744.0,10.580327868852459,19.97377049180328,15.277049180327868
1969,Postmonsoon,1419,27.14367389,87.765595,1157.0,14.069301343235137,25.49708830757221,19.783194825403672
1969,Postmonsoon,9999,27.961111,86.808889,5200.0,-12.27217271958585,5.91499544262295,-3.17858863848145
1969,Premonsoon,1016,27.94456111,85.59513611,2574.0,6.332716626838836,18.59189702484472,12.462306825841779
1969,Premonsoon,1024,27.61611667,85.56550278,1543.0,13.034216626838838,25.29339702484472,19.163806825841778
1969,Premonsoon,1036,27.6451338,85.620881,857.0,17.493216626838834,29.75239702484472,23.62280682584178
1969,Premonsoon,1103,27.63044722,86.23211389,1877.0,7.140217391304348,21.26521739130435,14.202717391304349
1969,Premonsoon,1123,27.39470278,86.06123333,497.0,19.833216626838833,32.092397024844715,25.962806825841778
1969,Premonsoon,1124,27.63333333,86.13333333,1755.0,11.656216626838836,23.91539702484472,17.785806825841778
1969,Premonsoon,1201,27.81667,86.71667,3450.0,1.5869565217391304,11.821739130434782,6.7043478260869565
1969,Premonsoon,1206,27.30812083,86.504225,1731.0,13.393478260869566,23.182608695652174,18.28804347826087
1969,Premonsoon,1212,26.730538,86.934812,101.0,22.40721662683884,34.66639702484472,28.536806825841776
1969,Premonsoon,1218,27.83333,86.76667,3857.0,-1.2597826086956523,11.782608695652174,5.261413043478261
1969,Premonsoon,1219,27.50511778,86.586215,2383.0,7.574216626838836,19.833397024844718,13.703806825841777
1969,Premonsoon,1222,27.21252194,86.79188583,1612.0,12.585716626838835,24.844897024844723,18.715306825841775
1969,Premonsoon,1225,27.81667,86.71667,3700.0,-0.9862833731611633,11.272897024844722,5.143306825841779
1969,Premonsoon,1303,27.29209694,87.31696583,1277.0,14.763216626838837,27.02239702484472,20.892806825841777
1969,Premonsoon,1304,27.046316,87.292473,1720.0,11.883716626838837,24.142897024844718,18.013306825841777
1969,Premonsoon,1307,26.98321944,87.34595556,1192.0,15.315716626838835,27.57489702484472,21.44530682584178
1969,Premonsoon,1314,27.12304,87.53619,1525.0,13.151216626838835,25.41039702484472,19.28080682584178
1969,Premonsoon,1316,26.82044,87.15917,105.0,22.381216626838835,34.64039702484472,28.51080682584178
1969,Premonsoon,1327,27.39106194,87.20438389,1064.0,16.147716626838836,28.406897024844717,22.27730682584178
1969,Premonsoon,1401,27.68333,87.78333,3119.0,3.1119565217391307,12.161956521739132,7.636956521739131
1969,Premonsoon,1405,27.35861111,87.67,1744.0,12.514130434782608,22.157608695652176,17.335869565217394
1969,Premonsoon,1419,27.14367389,87.765595,1157.0,15.543216626838836,27.802397024844723,21.67280682584178
1969,Premonsoon,9999,27.961111,86.808889,5200.0,-11.397940133867278,8.53154004347826,-1.4332000451945082
1969,Winter,1016,27.94456111,85.59513611,2574.0,0.34725495989974925,12.10449120888889,6.225873084394319
1969,Winter,1024,27.61611667,85.56550278,1543.0,7.048754959899749,18.805991208888887,12.927373084394318
1969,Winter,1036,27.6451338,85.620881,857.0,11.50775495989975,23.264991208888887,17.386373084394318
1969,Winter,1103,27.63044722,86.23211389,1877.0,0.48000000000000004,14.600267226666668,7.5401336133333325
1969,Winter,1123,27.39470278,86.06123333,497.0,13.84775495989975,25.604991208888887,19.726373084394318
1969,Winter,1124,27.63333333,86.13333333,1755.0,5.670754959899749,17.427991208888887,11.549373084394318
1969,Winter,1201,27.81667,86.71667,3450.0,-5.072222222222222,6.382222222222222,0.655
1969,Winter,1206,27.30812083,86.504225,1731.0,5.464444444444444,16.198172115555558,10.83130828
1969,Winter,1212,26.730538,86.934812,101.0,16.421754959899747,28.178991208888885,22.30037308439432
1969,Winter,1218,27.83333,86.76667,3857.0,-6.722222222222222,5.876339342222222,-0.42294144
1969,Winter,1219,27.50511778,86.586215,2383.0,1.588754959899749,13.345991208888888,7.467373084394319
1969,Winter,1222,27.21252194,86.79188583,1612.0,6.600254959899749,18.357491208888888,12.47887308439432
1969,Winter,1225,27.81667,86.71667,3700.0,-6.9717450401002505,4.78549120888889,-1.0931269156056804
1969,Winter,1303,27.29209694,87.31696583,1277.0,8.777754959899749,20.53499120888889,14.656373084394318
1969,Winter,1304,27.046316,87.292473,1720.0,5.89825495989975,17.655491208888886,11.776873084394317
